5,62,-1,-5,-2,0,-2,0,
1,63,-8,-6,-2,0,-3,-2,
-1,36,-5,1,-1,-1,0,1,
-1,-25,2,-3,0,2,2,-4,
0,-83,0,1,-2,-1,-2,0,
-1,-102,2,-1,0,-3,-1,0,
0,-104,0,-5,-3,-3,-2,0,
-1,-86,7,-1,1,-2,0,-1,
-6,-86,-19,-6,-3,-1,-2,0,
-1,-25,-8,0,-4,-1,-3,-2,
3,26,8,6,6,3,2,1,
-2,65,-8,0,6,2,4,-1,
4,111,21,1,2,2,3,-3,
0,101,13,1,3,1,2,2,
-5,89,-23,-12,-8,-4,-2,-4,
1,89,6,2,1,1,1,-3,
0,57,1,8,3,5,1,0,
2,33,20,3,-1,0,-2,1,
-4,1,-19,-8,-2,-4,-5,0,
-1,-4,3,-5,-3,0,-2,3,
-3,-15,-4,-3,-5,-8,-3,0,
1,-18,1,0,-1,-4,-1,-2,
2,-1,21,13,7,6,3,-1,
2,-6,-4,1,4,1,-2,-2,
-4,-5,5,-3,-5,0,-1,-1,
2,12,17,3,3,4,2,-3,
2,10,23,6,-1,2,-1,0,
-4,-12,-44,-15,-7,-5,-1,-2,
0,2,6,-5,-9,-5,-3,-2,
2,-5,13,8,4,-1,1,0,
2,-7,-14,7,8,-2,1,-1,
-4,-7,12,2,-1,0,-3,-2,
-2,-11,-17,-1,0,-3,-2,-2,
-2,3,1,-5,-5,1,-2,0,
0,0,14,0,-4,-3,-1,1,
-1,-6,-8,-4,-8,-3,-3,1,
0,1,2,-1,-3,2,-1,3,
0,-3,-18,-1,0,-2,-3,-4,
-1,-8,-5,-4,-6,0,-3,-2,
-4,-15,-5,-4,-8,-6,-4,-2,
2,4,5,1,6,7,3,0,
-2,3,13,1,13,1,3,-1,
-2,6,14,3,8,6,4,-4,
0,1,18,-5,4,-1,3,-4,
0,3,11,1,0,-1,1,-1,
4,10,45,3,0,-3,-1,-2,
-6,-20,-51,-17,-7,-6,-3,0,
0,9,30,12,4,7,1,3,
2,-1,-9,1,1,-2,-3,0,
-6,-8,-11,-5,-2,0,-2,-4,
-4,-4,2,-7,-12,0,-3,-2,
4,4,-10,3,-1,-2,0,0,
