08:06:26.998,0,-3,0,-1,-1,-1,-1,0,
08:06:27.004,0,-1,-1,0,-1,0,-1,0,
08:06:27.004,-1,-1,0,-1,-1,0,-1,1,
08:06:27.005,-1,-3,-1,1,1,-2,-1,-2,
08:06:27.005,-1,-3,-2,-1,0,0,-2,-2,
08:06:27.005,0,-1,-1,-1,0,-1,-1,-3,
08:06:27.006,-1,-1,0,-2,-3,-2,-3,-3,
08:06:27.006,0,-3,-1,-1,-3,-2,-1,-2,
08:06:27.011,-3,-3,-2,-1,-1,-3,-3,-3,
08:06:27.012,-1,-3,-3,-2,-1,-2,-2,-1,
08:06:27.018,-2,-2,-2,-2,0,-2,-1,-2,
08:06:27.020,-3,-3,-3,-1,0,-2,-2,0,
08:06:27.026,-1,-3,-1,0,-2,0,-1,-1,
08:06:27.027,-3,-1,-3,0,-2,-1,-3,-1,
08:06:27.040,-1,-1,-1,0,-2,-1,-2,0,
08:06:27.040,-2,-2,-2,-1,-3,-2,-3,-1,
08:06:27.051,-1,-1,2,-1,-2,0,0,-1,
08:06:27.052,-1,0,0,0,-1,0,0,-2,
08:06:27.065,1,-1,-3,0,-1,0,0,-1,
08:06:27.065,-1,-2,-2,0,0,0,-1,-1,
08:06:27.071,0,-1,-1,0,0,-2,-1,-1,
08:06:27.072,0,0,-1,-3,-2,-1,-1,-1,
08:06:27.084,0,0,0,0,-1,-2,-2,0,
08:06:27.085,-1,-2,-4,-3,-1,0,-1,-1,
08:06:27.126,-2,1,1,-1,-3,-2,-1,0,
08:06:27.127,0,-1,-1,-2,-1,0,-1,-1,
08:06:27.127,-1,-3,-1,-2,-1,-2,-2,0,
08:06:27.128,-1,1,-3,0,-1,-2,-2,-1,
08:06:27.131,-1,-2,-1,-1,2,-1,-1,-1,
08:06:27.131,-1,-2,-2,-1,-2,1,-1,-1,
08:06:27.132,-2,-3,-2,-1,0,-1,1,-1,
08:06:27.133,-2,0,0,-1,-3,0,0,-2,
08:06:27.137,-2,0,-1,0,0,-1,-1,0,
08:06:27.138,-2,-2,-3,-1,-1,-2,0,-2,
08:06:27.145,-2,-2,0,-2,0,1,0,-1,
08:06:27.146,-1,-1,0,-1,-1,-2,-1,-1,
08:06:27.152,-2,1,-4,-1,0,0,0,0,
08:06:27.153,0,0,-2,-1,0,1,-2,0,
08:06:27.168,-1,-1,-3,0,-3,-1,-1,-3,
08:06:27.168,-1,1,-1,-1,-1,0,-1,0,
08:06:27.174,0,-1,4,0,-1,0,-1,0,
08:06:27.175,-3,0,-2,-1,0,-2,-2,0,
08:06:27.198,-1,-1,-1,1,-1,-1,0,1,
08:06:27.199,1,-1,-1,-1,0,0,0,0,
08:06:27.200,0,-3,-2,-1,0,-1,0,-1,
08:06:27.201,-2,-2,0,-1,-2,-1,0,-1,
08:06:27.212,0,0,0,-2,-1,-3,0,-1,
08:06:27.213,-2,-2,-2,-2,0,1,-1,-1,
08:06:27.221,0,-2,-2,-1,-2,-2,-1,-2,
08:06:27.221,0,-2,-2,0,1,-1,-1,-2,
08:06:27.236,2,-1,-1,0,-2,0,-2,-1,
08:06:27.237,-2,-1,-3,0,0,-1,-1,-1,
08:06:27.237,-1,-1,-1,-3,-1,1,-1,-3,
08:06:27.238,-1,0,3,0,-1,-3,-1,-1,
08:06:27.258,0,-2,-1,-1,0,0,-1,0,
08:06:27.259,-1,-2,-1,-1,-1,0,1,-1,
08:06:27.260,-2,1,0,-1,-1,1,-1,-1,
08:06:27.261,0,0,-2,-2,0,-1,0,-2,
08:06:27.272,-1,-2,-1,-1,-2,-2,0,0,
